Pconsent_self,gender,bday,bday#1_1,bday#2_1,bday#3_1,race_2,race_3,P1ed,P2ed,income,city,state,device,device-type,account,ytkids,controls,controls_type,Pdays,Ptime,Ptime_9_TEXT,Pfavorite,observations,yt_opinions_1,yt_opinions_2,yt_opinions_3,yt_opinions_4,yt_opinions_5,concerns,Pconsent-child,opp.x,gc.x,term.x,Q_BallotBoxStuffing.x,Q_CHL.x,expected_ir.x,expected_loi.x,Country.x,expected_n.x,tg.x,transaction_id,SVID.x,PS.x,Child_age,Response,P_age,Cconsent,age,days,Ctime,genre,genre_8_TEXT,shorts_days,shorts_time,malleable_1,malleable_2,malleable_3,malleable_4,favorite,homophily_appear_1,homophily_appear_2,homophily_appear_3,homophily_appear_4,homophily_appear_5,homophily_behave_1,homophily_behave_2,homophily_behave_3,homophily_behave_4,homophily_behave_6,parasocial_1,parasocial_2,parasocial_3,parasocial_4,parasocial_5,outgroup_freq,outgroup_simple,regularities_1,regularities_2,regularities_3,regularities_4,regularities_5,regularities_6,regularities_7,friend,opp.y,gc.y,term.y,Q_BallotBoxStuffing.y,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL.y,expected_ir.y,expected_loi.y,Country.y,expected_n.y,tg.y,SVID.y,PS.y,age_match,difference,large_diff,Ptime_score,Ptime_max,Ptime_max_score,malleable_score,h_appear_score,h_behave_score,parasocial_score,composite,regularity_score,friend_gender,friend_race,race_1,race_match,race_match_binary,gender_match
Agree,Female,2012-01-14,January,14,2012,NA,NA,Some college,High school degree or equivalent,"$25,000 through $34,999",English,IN,Yes,iPhone,No,NA,No,NA,7,5,NA,don't know,no,None at all,None at all,A little,A lot,A little,none,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,5RXEkxgVFUpfpKCU6nH922,36661704,1449,NA,Complete,13,YES,13,7 days,2 hours or less,Makeup/Fashion,NA,7 days,30 minutes or less,2,5,1,2,slushy noobs,1,1,4,4,1,5,3,5,4,5,3,4,2,3,2,Often,I don't know,2,2,2,4,2,3,3,2,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,35,1.5,10.5,0.5,0.44,0.88,0.56,0.6266666666666667,0.5142857142857142,Female,White,White,1,1,1
Agree,Male,2018-09-09,September,9,2018,NA,NA,"Bachelor's degree (e.g. BA, BS)",Some college,"$100,000 or greater",oceanside,ca,No,Android tablet,Yes,Yes,Yes,viewing,3,5,NA,spiderman,he tries to act like spiderman,A moderate amount,A lot,A lot,A lot,A lot,"encountered inappropriate or age-inappropriate material, including violence and stereotyping",Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,7G6byDKay1rqUOZDzJ2Fcc,36661704,1449,NA,Complete,6,YES,6,3 days,1.5 hours or less,Gaming/Let's Play,NA,3 days,45 minutes or less,2,1,1,2,shannon sharpe,1,1,1,1,1,3,4,4,3,4,5,4,4,5,5,Often,More people who DO NOT have the same skin color as me,1,1,2,1,1,5,2,4,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,15,1.5,4.5,0.3,0.2,0.72,0.92,0.6133333333333333,0.37142857142857144,Female,Black or African American,White,0,0,0
Agree,Female,2015-04-17,April,17,2015,NA,NA,"Bachelor's degree (e.g. BA, BS)","Master's degree (e.g. MA, MS)","$75,000 through $99,999",Nashville,Tennessee,Yes,Android phone,Yes,Yes,No,NA,7,5,NA,Barbie,more active mood,A lot,A moderate amount,A moderate amount,A lot,A lot,I haven't seen any content that wouldn't be suitable for a child.,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,7jPvgsCOtrFewxjG4DifS3,36661704,1449,NA,Complete,9,YES,9,7 days,1 hour or less,Gaming/Let's Play,NA,7 days,1 hour or less,3,3,4,4,Regina,4,4,4,2,1,3,4,2,4,4,5,4,4,5,4,Often,I don't know,2,2,2,2,2,3,3,2,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,35,1.5,10.5,0.7,0.6,0.68,0.88,0.72,0.45714285714285713,Female,White,White,1,1,1
Agree,Male,2014-03-17,March,17,2014,NA,NA,High school degree or equivalent,High school degree or equivalent,"$16,000 through $24,999",Shenandoah,PA,Yes,Android tablet,Yes,Yes,Yes,a time limit,7,7,NA,stokes twins,sometimes he can become a bit fiesty and remabntcious after watching certain videos,A lot,A moderate amount,None at all,A lot,A great deal,i think some of the stuff is not appropriate for my childs age,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,2U4QW1TLikKdksb8nyKUze,36661704,1449,NA,Complete,11,YES,11,7 days,2 hours or less,Vlogs,NA,3 days,45 minutes or less,1,4,1,4,stokes twins,2,2,2,4,2,4,3,4,5,3,4,3,4,5,2,Sometimes,More people who DO have the same skin color as me,1,2,2,4,2,3,4,5,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,49,3,21,0.5,0.48,0.76,0.72,0.6533333333333333,0.5142857142857142,Male,South Asian,White,0,0,1
Agree,Female,2012-08-30,August,30,2012,White,NA,High school degree or equivalent,Less than high school,"$5,000 through $11,999",Umatilla,Oregon,Yes,Android phone,No,No,No,NA,7,7,NA,Music,No,A great deal,A lot,A lot,A lot,A lot,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,1ti4cTeJS5DE0w3GYnx3Ia,36661704,1449,NA,Complete,12,YES,12,7 days,2 hours or less,Crafts/do-it-yourself (DIY),NA,7 days,2 hours or less,4,4,2,4,I have a lot,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Sometimes,I don't know,2,2,1,2,1,4,2,4,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,49,3,21,0.7,0.8,0.8,0.8,0.8,0.4,Female,Black or African American,Hispanic or Latino/a,0,0,1
Agree,Female,2011-08-14,August,14,2011,NA,NA,"Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","$75,000 through $99,999","hartington, ne",Nebraska,No,Some other device,Yes,Yes,Yes,i feel cool,7,1,NA,life,great,A great deal,A lot,A lot,A lot,A great deal,i have never saw this before,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,1SAgl8mZPpuL1XhCCIx1wx,36661704,1449,NA,Complete,13,YES,13,7 days,1 hour or less,Gaming/Let's Play,NA,7 days,45 minutes or less,5,4,3,4,bill,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,Very often,More people who DO NOT have the same skin color as me,5,4,2,4,1,4,2,6,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,7,0.25,1.75,0.8,1,0.92,0.8,0.9066666666666666,0.6285714285714286,Female,Hispanic or Latino/a,White,0,0,1
Agree,Female,2012-04-11,April,11,2012,NA,NA,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999",Douglassville,Pa,Yes,iPad tablet,Yes,Yes,Yes,Parental control,7,6,NA,John smith,He acts happier,A great deal,A great deal,A great deal,A lot,A great deal,Yes he’s learning,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,2iuKI86nunNY14iV0xcaIP,36661704,1449,NA,Complete,13,YES,12,7 days,30 minutes or less,Makeup/Fashion,NA,7 days,45 minutes or less,5,5,4,4,Joe smith,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,Very often,More people who DO have the same skin color as me,5,4,1,5,1,4,2,8,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,FALSE,1,FALSE,42,2,14,0.9,1,0.96,0.88,0.9466666666666667,0.6285714285714286,Female,South Asian,White,0,0,1
Agree,Female,2016-04-19,April,19,2016,NA,NA,"Master's degree (e.g. MA, MS)","Bachelor's degree (e.g. BA, BS)","$100,000 or greater",Orlando,Florida,Yes,iPad tablet,No,No,No,Contorl,5,3,NA,PBs,it is a great impact,A great deal,A great deal,A lot,A lot,A great deal,no conerns,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,6IEgH3fRxBHzy9zN6cX9UY,36661704,1449,NA,Complete,8,YES,8,5 days,45 minutes or less,Educational,NA,3 days,30 minutes or less,5,4,5,5,Mr.Beast,5,4,5,5,5,5,4,5,5,5,5,4,5,5,4,Very often,More people who DO have the same skin color as me,5,4,1,5,2,5,1,9,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,15,0.75,3.75,0.95,0.96,0.96,0.92,0.9466666666666667,0.6571428571428571,Male,White,White,1,1,0
Agree,Female,2011-02-16,February,16,2011,NA,NA,High school degree or equivalent,High school degree or equivalent,"$25,000 through $34,999",Houston,Texas,Yes,iPad tablet,Yes,No,No,NA,7,7,NA,Kai Cenat,She's more relaxed,A great deal,A great deal,A great deal,A lot,A great deal,No,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,7t7REJIlln5x1NKF0gIlJF,36661704,1449,NA,Complete,14,YES,14,7 days,More than 2 hours,Gaming/Let's Play,NA,7 days,More than 2 hours,1,5,5,5,Kai Cenat,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Never,More people who DO have the same skin color as me,3,3,3,3,3,3,3,4,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,49,3,21,0.8,1,1,1,1,0.6,Female,Black or African American,Black or African American,1,1,1
Agree,Female,2011-09-04,September,4,2011,NA,NA,High school degree or equivalent,High school degree or equivalent,"$50,000 through $74,999",Gray me,Me,Yes,Some other device,Yes,No,No,NA,6,6,NA,Basketball highlights,Happy,A little,A lot,A moderate amount,A lot,A lot,Na,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,7px1fHsF5EllnfpadV28JZ,36661704,1449,NA,Complete,13,YES,13,6 days,2 hours or less,Sports,NA,2 days,15 minutes or less,2,3,3,3,Ab camping,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,Often,I don't know,2,2,2,2,3,4,2,2,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,36,2,12,0.55,0.52,0.48,0.6,0.5333333333333333,0.4857142857142857,Female,White,White,1,1,1
Agree,Female,2015-05-20,May,20,2015,NA,NA,Some college,"Bachelor's degree (e.g. BA, BS)","$100,000 or greater",San Antonio,TX,Yes,iPhone,No,NA,NA,NA,7,6,NA,A for adley,Nothing,A lot,A lot,A moderate amount,A lot,A lot,None,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,7JAYVtnCKWiqro22b0QMJy,36661704,1449,NA,Complete,9,YES,9,7 days,2 hours or less,Gaming/Let's Play,NA,7 days,1.5 hours or less,4,4,2,4,A for adley,4,3,4,4,2,3,2,4,4,4,4,4,4,4,4,Often,I don't know,2,2,4,2,2,3,2,4,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,TRUE,0,FALSE,42,2,14,0.7,0.68,0.68,0.8,0.72,0.4857142857142857,Female,Black or African American,White,0,0,1
Agree,Male,2011-03-10,March,10,2011,NA,NA,"Master's degree (e.g. MA, MS)","Master's degree (e.g. MA, MS)","$100,000 or greater",WI,Wi,Yes,iPhone,Yes,Yes,Yes,YES,7,7,NA,Very involve,Good to see,A great deal,A lot,A great deal,A lot,A great deal,A lot of see,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,3Y93qIEHL28mkJkqYyJFaJ,36661704,1449,NA,Complete,14,YES,13,7 days,More than 2 hours,Educational,NA,7 days,2 hours or less,4,5,4,5,Joni,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,Very often,More people who DO have the same skin color as me,4,5,2,5,2,5,2,8,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,FALSE,1,FALSE,49,3,21,0.9,0.92,0.92,0.88,0.9066666666666666,0.7142857142857143,Female,South Asian,White,0,0,0
Agree,Female,2014-04-09,April,9,2014,NA,NA,Some college,Some college,"$75,000 through $99,999",birmingham,AL,Yes,Android tablet,Yes,Yes,Yes,age appropriate content controls,7,4,NA,razorfist,nothing has surprised me so far,A great deal,A great deal,A great deal,A lot,A great deal,im concerned about all the swearing,Agree,Qual32042-1126-Children8to13[AD]_Parent_New,NA,NA,NA,anonymous,.70,10,USA,220,NA,71jOyesjSHtZJP2wsBpr6r,36661704,1449,NA,Complete,11,YES,10,7 days,1 hour or less,Gaming/Let's Play,NA,7 days,30 minutes or less,2,4,1,4,razorfist,2,2,2,3,4,4,2,2,3,4,4,4,4,5,5,Often,More people who DO NOT have the same skin color as me,2,1,1,4,2,4,3,2,Qual32042-1126-Children8to13[AD]_Child_New,1,NA,NA,NA,NA,NA,NA,anonymous,.70,10,USA,220,NA,36661704,1449,FALSE,1,FALSE,28,1,7,0.55,0.52,0.6,0.88,0.6666666666666666,0.4857142857142857,Female,White,Hispanic or Latino/a,0,0,1
